applicant_id,post_tax_annual_income,total_monthly_expenses,monthly_emi_amount,other_debts
262144,1131264.0,,14951,22383
524290,1627747.2000000002,31899,19307,23902
786435,2203440.0,27744,23569,40071
524292,1916419.2000000002,12538,43051,3447
262159,1541241.6,,30304,16906
786448,2789318.4000000004,16748,66366,79639
262177,2662041.6,19674,35021,27088
524323,505171.2,9518,6007,8837
524324,726816.0,,16500,3149
262180,2315040.0,5873,48477,58735
524326,2798044.8000000003,,8060,40380
524327,1389820.8,43933,13864,2779
262184,1700064.0,30585,27885,12867
786476,845644.8,42051,11462,8333
262188,2267376.0,9283,51988,48348
786483,1378003.2000000002,31754,27417,37994
786485,2396803.2,,30308,31417
262200,519696.0,24607,11867,8123
524346,1248873.6,47449,18015,39701
524354,473971.2,12228,10364,9328
524355,2288611.2,,5203,34188
262210,2453472.0,40834,47565,47038
786505,663312.0,3725,12864,2952
262221,1117209.6,7683,14824,41025
786512,933849.6000000001,46783,12029,24593
524368,2467036.8000000003,7087,6397,7827
524379,309984.0,19198,6184,9990
524382,2578089.6,32404,38795,71780
786527,665798.4,10476,16598,10081
262239,2122598.4,,11998,79728
262244,1754160.0,15090,22667,70514
786532,152323.2,3075,2505,4487
786540,2304460.8000000003,35668,25089,35164
786544,2225241.6,9632,35612,10065
524401,1074307.2,1897,9908,27892
786546,2713334.4000000004,18886,23582,85585
786548,1167657.6,,11780,45738
786552,830755.2000000001,31078,4209,6508
262268,2782684.8000000003,30579,14756,107116
524413,1106515.2,24589,8876,3888
262269,1330992.0,15331,26993,29982
786563,2377353.6,48666,19428,40320
786571,1546108.8,,31351,13090
786572,619852.8,43540,13480,3572
262286,2421571.2,4910,10988,52032
524431,1051353.6,4440,5901,31195
262289,1566729.6,31957,22072,56514
524434,2020972.8,16508,36744,83044
262292,1450358.4000000001,26111,9308,51052
262297,883267.2000000001,47172,21044,19205
262300,2648659.2,25535,29412,89601
262304,1758019.2000000002,39413,28265,60302
786594,1394601.6,34855,33682,39952
524452,2746896.0,24735,61804,33121
786598,2294544.0,6467,39434,91469
262313,1725878.4000000001,22503,11572,9854
524459,139507.2,2451,1998,4663
786605,804931.2000000001,28463,556,14584
524464,1451942.4000000001,2391,23995,53924
524470,470486.4,24816,2874,7528
786616,2426630.4,9445,6225,75826
262334,2427158.4,2603,32508,64010
786625,663024.0,39604,342,10994
262340,1098576.0,,24936,42817
786629,1812249.6,25474,21835,44825
262347,2604844.8000000003,541,39301,92903
262349,1318166.4000000001,34929,20812,19781
524497,2171040.0,37616,48755,6961
786643,147494.4,38513,1338,781
262356,1323427.2000000002,49789,31886,37801
524501,2709532.8000000003,4028,47149,35733
786647,901987.2000000001,27168,3101,5199
524503,2167622.4,48351,1716,18072
786649,2307801.6,,50745,14211
786651,1743417.6,40404,21895,34827
262366,2717433.6,19934,35144,9763
786655,478732.80000000005,2761,4000,9532
262369,987964.8,12924,13671,16577
524517,2349868.8000000003,30086,24132,93079
262379,853507.2000000001,5025,18533,27849
